sample_reference,Animal,Pen,Diet,RFI_category,DEX_Group,Sampling_Round,Firmicutes,Bacteroidetes,Euryarchaeota,Proteobacteria,Actinobacteria,Verrucomicrobia,TM7,Spirochaetes,Cyanobacteria,Fibrobacteres,SR1,Lentisphaerae,Elusimicrobia,Planctomycetes,Tenericutes,Synergistetes,Chloroflexi,Fusobacteria,Acidobacteria,X.Thermi.,Chlamydiae
301197_R3A,301197,3,PBforg,HIGH RFI,DEX,R3,0.261623548,0.328458444,0.201173843,0.154502286,0.01065811,0.012141538,0.003120037,0.011504632,0.001104509,0.002047776,0.007675129,0.00118513,0.001289938,0.000185429,0.001475366,0.000427292,0.000249925,0.000902956,0.000193491,0,0
301197_R2A,301197,3,PBforg,HIGH RFI,DEX,R2,0.297789729,0.288758124,0.282186396,0.081730595,0.036102302,0.005992934,0.000506445,0.002592517,6.03E-05,0.00189314,0.000156757,0.000301455,0.00108524,0.000217048,0.000277339,0.000277339,3.62E-05,3.62E-05,0,0,0
301197_R1A,301197,3,PBforg,HIGH RFI,DEX,R1,0.237031687,0.227848214,0.254480287,0.246402397,0.012018759,0.004056777,0.000954011,0.001257155,8.92E-05,0.000142656,0.003557481,0.000285312,0.000320976,0.011011252,0,0.000347724,0.00013374,0,6.24E-05,0,0
302541_R1A,302541,2,PBconc,LOW RFI,CONTROL,R1,0.427147966,0.322123257,0.158906504,0.045129124,0.038505878,0,0.005676019,8.08E-05,4.41E-05,0,0,9.55E-05,0.000947227,0,0.000763656,0.000513999,0,0,0,6.61E-05,0
302541_R3A,302541,2,PBconc,LOW RFI,CONTROL,R3,0.30622326,0.220631452,0.147338809,0.297976373,0.020629778,0.000502348,0.002587095,0.001440066,0.000385134,0,0,6.70E-05,0.00155728,0,1.67E-05,0.000644681,0,0,0,0,0
302541_R2A,302541,2,PBconc,LOW RFI,CONTROL,R2,0.265596679,0.245097151,0.152559269,0.296092221,0.034347133,2.72E-05,0.002555644,0.00264627,0.000163126,0,0,6.34E-05,0.000607192,0,4.53E-05,0.000199376,0,0,0,0,0
400617_R3A,400617,3,PBforg,LOW RFI,DEX,R3,0.254239286,0.274222388,0.143546264,0.278751498,0.007014717,0.005619633,0.010217515,0.004647004,0.000275087,0.010345234,0.004047708,0.002809817,0.000117894,0.002151573,0.000943155,0.000373332,0.000206315,0,0.000294736,0,7.86E-05
400617_R2A,400617,3,PBforg,LOW RFI,DEX,R2,0.28723752,0.286662684,0.228175967,0.151023997,0.037544662,0.002152816,0.001284927,0.000732634,0.000371953,7.89E-05,0.001814677,0,0.000676277,0.002062646,0,0.000112713,0,0,0,0,0
400617_R1A,400617,3,PBforg,LOW RFI,DEX,R1,0.276580632,0.229074036,0.245807428,0.209923805,0.012702249,0.003274726,0.0093814,0.001678874,4.61E-05,0.000433555,0.003117909,0.005912957,0.001051602,8.30E-05,0.000673394,0.000193716,0,0,0,0,0
400805_R3A,400805,2,PBconc,HIGH RFI,DEX,R3,0.43299938,0.230573211,0.188803194,0.115737152,0.02560848,3.88E-05,0.002722657,0.000455391,0.001317727,0,0,0.000542594,0.000484459,0,0.000184094,0.000474769,0,0,0,5.81E-05,0
400805_R2A,400805,2,PBconc,HIGH RFI,DEX,R2,0.379955106,0.245251416,0.128288687,0.20098447,0.043902328,0,0.000170915,4.56E-05,0.000603899,0,0,0,0.000444379,0,4.56E-05,0.000307647,0,0,0,0,0
400805_R1A,400805,2,PBconc,HIGH RFI,DEX,R1,0.366617803,0.326818145,0.167953416,0.074240573,0.062806417,0,5.70E-05,0,0.000749247,0,0,0,9.77E-05,0,0.000114016,0.000480495,2.44E-05,0,0,4.07E-05,0
401191_R1A,401191,3,PBforg,HIGH RFI,CONTROL,R1,0.315155222,0.255370023,0.237154841,0.132550602,0.030837914,0.00943726,0.005886372,0.006355057,0.000413079,0.000913539,0.002152776,0.001040641,0.001008865,0.000135045,0.000762607,0.000365416,0.00016682,0,0.000111213,7.94E-05,0.00010327
401191_R3A,401191,3,PBforg,HIGH RFI,CONTROL,R3,0.333647214,0.300705447,0.202947339,0.1180191,0.021296798,0.003201582,0.005029936,0.003672403,0.000298187,0.004221694,0.003829343,0.000706231,0.000204022,0.00023541,0.001647873,0.000211869,8.63E-05,0,3.92E-05,0,0
401191_R2A,401191,3,PBforg,HIGH RFI,CONTROL,R2,0.379667617,0.274158033,0.190146721,0.086850706,0.041721716,0.005249983,0.004971838,0.007730107,0.000428807,0.002665554,0.002897341,0.000985096,0.000706951,8.11E-05,0.00091556,0.000208609,0.000567879,0,0,0,0
401192_R1A,401192,2,PBconc,HIGH RFI,DEX,R1,0.243480977,0.219191714,0.148938797,0.325900315,0.052544417,0.001111321,0.004154742,0.000668245,0.002825515,5.08E-05,0,0,0.000581083,0,0.000210643,0.000312332,0,2.91E-05,0,0,0
401192_R3A,401192,2,PBconc,HIGH RFI,DEX,R3,0.263827729,0.307429539,0.122663469,0.26054273,0.032195004,0.000755751,0.00182388,0.000191457,0.009179859,0,0,5.04E-05,6.05E-05,0.000403067,0.000251917,0.000624754,0,0,0,0,0
401192_R2A,401192,2,PBconc,HIGH RFI,DEX,R2,0.311965812,0.30525697,0.136276266,0.192037099,0.051683275,0,0.000951741,4.67E-05,0.001306311,0,0,0,0,0.00011197,4.67E-05,0.000242601,7.46E-05,0,0,0,0
402207_R3A,402207,4,PBforg,HIGH RFI,CONTROL,R3,0.24498162,0.271694684,0.247945149,0.15846103,0.02496799,0.009437859,0.007641155,0.012866053,0.000392384,0.013867663,0.003304283,0.000846723,0.001559209,0.000154888,0.000970633,0.000165214,0.000640205,7.23E-05,0,0,0
402207_R2A,402207,4,PBforg,HIGH RFI,CONTROL,R2,0.272908764,0.288656888,0.327739481,0.050344674,0.025495285,0.00901906,0.003299942,0.010064237,0.00016441,0.004063274,0.002090355,0.001092152,0.001632356,0.000575435,0.000469743,0.000598922,0.001373997,0,0.000234871,7.05E-05,4.70E-05
402207_R1A,402207,4,PBforg,HIGH RFI,CONTROL,R1,0.260935024,0.272454437,0.293066561,0.074138273,0.066838352,0.009102615,0.003585578,0.007646593,0.000118859,0.003882726,0.001901743,0.000970681,0.001525357,0.002565372,0.000316957,0.000505151,0,0,8.91E-05,0.000237718,9.90E-06
402542_R1A,402542,1,PBconc,LOW RFI,DEX,R1,0.236310313,0.206731335,0.108098147,0.417493315,0.024434808,0,7.84E-05,0.000188201,0.00559899,0,0,0.000196043,0.000211727,0,0,0.000541079,0,0.000117626,0,0,0
402542_R3A,402542,1,PBconc,LOW RFI,DEX,R3,0.332350477,0.339781741,0.191972495,0.109423451,0.019454025,0,9.79E-05,0.000304649,0.002894167,0,0,0,0.001838775,5.44E-05,0.000467854,0.001360041,0,0,0,0,0
402542_R2A,402542,1,PBconc,LOW RFI,DEX,R2,0.220949604,0.190899625,0.172955713,0.401804804,0.011120367,8.33E-05,8.33E-05,0.000124948,0.000423435,0,0,0.000145773,9.72E-05,0,0.000631681,0.000680272,0,0,0,0,0
402703_R3A,402703,2,PBconc,LOW RFI,DEX,R3,0.310630968,0.303695165,0.161010178,0.206587375,0.01468373,0,7.86E-05,0.001342625,0.000438809,3.93E-05,0,7.86E-05,0.000438809,0,0.000412612,0.000563247,0,0,0,0,0
402703_R2A,402703,2,PBconc,LOW RFI,DEX,R2,0.225726527,0.277587456,0.314537697,0.128802583,0.014543958,0.030232829,0.001833648,0.002468716,4.47E-05,0.000277283,0.000125225,0.000679791,0.000805016,0,0.001305915,0.000107335,0.000402508,0.00011628,0.00036673,0,0
402703_R1A,402703,2,PBconc,LOW RFI,DEX,R1,0.341693525,0.330823323,0.216466452,0.056030862,0.04587362,0,0.006358043,0.000361363,0.000527395,0,0,0,0.000576228,0,0.000205098,0.00108409,0,0,0,0,0
405064_R3A,405064,4,PBforg,HIGH RFI,CONTROL,R3,0.25666812,0.257714479,0.280230587,0.137489706,0.021653829,0.007653926,0.008080221,0.008361188,0.001123868,0.013166691,0.002519014,0.001724556,0.000319721,0.000377852,0.001404835,0.000368164,0.001017294,0,0.000106574,0,0
405064_R2A,405064,4,PBforg,HIGH RFI,CONTROL,R2,0.297284662,0.253234362,0.29533832,0.086440484,0.041006755,0.008357822,0.008281494,0.004551006,0.000162195,0,0.001316643,0.001268939,0.000238522,6.68E-05,0.001049498,0.000467504,0.00075373,0,0.000181277,0,0
405064_R1A,405064,4,PBforg,HIGH RFI,CONTROL,R1,0.275576766,0.269684391,0.275407336,0.09680061,0.034676531,0.023870707,0.007247809,0.005581754,0.000141191,0.001741357,0.002597916,0.00048005,0.001948437,0.002324947,0.000649479,0.000451811,0.000781257,0,0,0,0
500604_R1A,500604,1,PBconc,HIGH RFI,DEX,R1,0.384631686,0.332211579,0.195812495,0.055353056,0.030194117,0,1.70E-05,2.54E-05,0.000127151,0,0,0,0,0,0,0.001525812,0,0.000101721,0,0,0
500604_R3A,500604,1,PBconc,HIGH RFI,DEX,R3,0.454085867,0.2629375,0.135956998,0.120029236,0.01008809,2.28E-05,0.000685229,0.000609092,0.012585368,0,0,0,0.00110398,3.81E-05,0.000883184,0.000974548,0,0,0,0,0
500604_R2A,500604,1,PBconc,HIGH RFI,DEX,R2,0.568773991,0.162351216,0.196297842,0.031950964,0.038161954,0,0.000112001,0,0.000437824,0,0,0,0.000539643,0,0.000112001,0.001262562,0,0,0,0,0
500810_R1A,500810,4,PBforg,LOW RFI,DEX,R1,0.221997011,0.281442581,0.349384763,0.091210614,0.015641955,0.021661241,0.007493397,0.002190693,0,7.17E-05,0.000245685,0.00252851,0.002538747,0.000358291,0.001300084,0.000348054,0.001259136,0,0.000194501,0,0
