sample_reference,Animal,Pen,Diet,RFI_category,DEX_Group,Sampling_Round,Firmicutes,Bacteroidetes,Euryarchaeota,Proteobacteria,Actinobacteria,Verrucomicrobia,TM7,Spirochaetes,Cyanobacteria,Fibrobacteres,SR1,Lentisphaerae,Elusimicrobia,Planctomycetes,Tenericutes,Synergistetes,Chloroflexi,Fusobacteria,Acidobacteria,X.Thermi.,Chlamydiae
604891_R3A,604891,1,PBconc,HIGH RFI,CONTROL,R3,0.336253301,0.286294631,0.191901373,0.160147981,0.021965283,0,0.000937481,0.000383057,0.000947562,0,0,0.000403218,0,0,0,0.000665309,0,0,0,0.000100804,0
604891_R2A,604891,1,PBconc,HIGH RFI,CONTROL,R2,0.321001079,0.309553573,0.165119784,0.177646112,0.015925476,0,0.000171242,9.42E-05,0.004298166,0,0,0.003972807,0.001541175,0,0,0.000676405,0,0,0,0,0
605129_R3A,605129,1,PBconc,LOW RFI,CONTROL,R3,0.337837728,0.27165153,0.214401078,0.156696128,0.011411134,0,0.000332757,0.003960621,0.000430149,0,0,4.87E-05,0.000835951,0,0.000576238,0.00181799,0,0,0,0,0
605129_R2A,605129,1,PBconc,LOW RFI,CONTROL,R2,0.343690899,0.239014163,0.176124257,0.21725215,0.013426897,0,0.000667494,0.000804416,0.006358307,0,0,0.000282401,0.00071884,0,0.000239613,0.001215181,0,0.000205383,0,0,0
605171_R1A,605171,2,PBconc,HIGH RFI,DEX,R1,0.273083836,0.402669131,0.211820438,0.054859812,0.035292491,0.0009096,0.011657437,0.001157012,0.001768263,0,0,0,0.000276518,0.004584385,0.000654912,0.000669466,0.00018192,7.28E-05,0,0.000312902,2.91E-05
605171_R3A,605171,2,PBconc,HIGH RFI,DEX,R3,0.402326322,0.358066001,0.189310247,0.008090787,0.036541321,0,0.005089937,0,0,0,0,0,0,0,0,0,9.74E-05,0.000478011,0,0,0
605171_R2A,605171,2,PBconc,HIGH RFI,DEX,R2,0.307822803,0.289046925,0.157606195,0.1445618,0.023338062,0,0.002290676,9.58E-05,0.067675587,0,0,0.003632495,0.000182104,5.75E-05,0.002329014,0.000517559,0.000134182,0.000709247,0,0,0
701202_R1A,701202,1,PBconc,HIGH RFI,CONTROL,R1,0.328273939,0.237684064,0.24407075,0.14681537,0.033231681,0,0.001306962,0.000121983,0.007066307,0,0,0,0.000191688,0,0.000165548,0.001028143,0,0,0,0,4.36E-05
701202_R3A,701202,1,PBconc,HIGH RFI,CONTROL,R3,0.336973935,0.300048679,0.189644643,0.128884365,0.018683896,0.000752312,0.001070939,0.019861044,0.000256671,3.54E-05,0,0,0.000469089,0,0.001637385,0.001681639,0,0,0,0,0
701202_R2A,701202,1,PBconc,HIGH RFI,CONTROL,R2,0.310868553,0.29253154,0.170996942,0.187116502,0.032644134,0,0.002014945,0.0007189,0.001933942,5.06E-05,0,0,0.000172131,0,0,0.000951783,0,0,0,0,0
702203_R1A,702203,3,PBforg,HIGH RFI,DEX,R1,0.228987419,0.312268067,0.263494507,0.142939608,0.01032647,0.006533073,0.003820886,0.023209361,0.00062307,7.33E-05,0.002116606,0.002446466,0.000943768,0.000815489,0.000522279,0.000384837,0.000357349,6.41E-05,7.33E-05,0,0
702203_R3A,702203,3,PBforg,HIGH RFI,DEX,R3,0.293374789,0.301976469,0.282074813,0.067703982,0.016313057,0.00828665,0.006286896,0.012162884,0.000643756,0.002465449,0.001766905,0.001424482,0.001561451,0.000397211,0.001410785,0.000657453,0.000972483,0,0.000465696,0,5.48E-05
702203_R2A,702203,3,PBforg,HIGH RFI,DEX,R2,0.217320491,0.306557014,0.278808839,0.14196811,0.015854664,0.004212495,0.001317033,0.025737438,0.000261396,0.003548951,0.000924939,0.000613275,0.00027145,0.000351879,0.000985261,0.000512738,0.00046247,0,0.000261396,0,3.02E-05
702594_R1A,702594,1,PBconc,LOW RFI,DEX,R1,0.375900744,0.277819317,0.218922805,0.109527135,0.016030566,0,0,0.000419046,0.000443696,0,0,0,0.00031223,0,0,0.000624461,0,0,0,0,0
702594_R3A,702594,1,PBconc,LOW RFI,DEX,R3,0.24413356,0.24897202,0.107651878,0.388213016,0.007961045,0,0.000525584,0.00149173,3.09E-05,0,0,0,0.000115938,6.96E-05,0.000394188,0.000440563,0,0,0,0,0
702594_R2A,702594,1,PBconc,LOW RFI,DEX,R2,0.410936175,0.254231039,0.131604661,0.192037535,0.010821872,0,0,0,2.77E-05,0,0,0,3.69E-05,0,0,0.000221231,8.30E-05,0,0,0,0
