Sepcies,08/02/2019,22/02/2019,08/03/2019
S24-7,87,2,83
S24-7,31,13,91
RF32,39,4,88
Clostridiales,24,56,65
S24-7,54,48,47
Helicobacter,35,45,16
S24-7,64,10,12
S24-7,15,6,19
S24-7,2,19,14
Lachnospiraceae,25,46,46
Clostridiales,16,43,7
Clostridiales,43,108,12
Clostridiales,1,111,37
Clostridiales,3,35,143
Ruminococcus,83,57,120
